human_time	tobii_timestamp_us	x_position	y_position
2026-01-30 15:30:53.107	1380195765905	0.034534	1.59273
2026-01-30 15:30:53.108	1380195796251	0.0396489	1.59108
2026-01-30 15:30:53.109	1380195826307	0.0447151	1.58952
2026-01-30 15:30:53.110	1380195856653	0.0494345	1.58703
2026-01-30 15:30:53.110	1380195886921	0.0535569	1.58449
2026-01-30 15:30:53.111	1380195917055	0.0570857	1.58252
2026-01-30 15:30:53.112	1380195947305	0.0610996	1.57803
2026-01-30 15:30:53.113	1380195977554	0.0688698	1.57552
2026-01-30 15:30:53.113	1380196007592	0.0780941	1.56703
2026-01-30 15:30:53.114	1380196037938	0.0856018	1.5581
2026-01-30 15:30:53.115	1380196068091	0.0923508	1.55064
2026-01-30 15:30:53.117	1380196098340	0.0972143	1.5444
2026-01-30 15:30:53.117	1380196128686	0.100066	1.53794
2026-01-30 15:30:53.118	1380196158742	0.100261	1.53437
2026-01-30 15:30:53.119	1380196188992	0.10034	1.53319
2026-01-30 15:30:53.120	1380196219154	0.100169	1.53315
2026-01-30 15:30:53.121	1380196249500	0.100625	1.53313
2026-01-30 15:30:53.122	1380196279653	0.100779	1.53629
2026-01-30 15:30:53.123	1380196309902	0.101456	1.5391
2026-01-30 15:30:53.123	1380196339949	0.102722	1.54185
2026-01-30 15:30:53.124	1380196370198	0.104118	1.54545
2026-01-30 15:30:53.125	1380196400332	0.104577	1.5484
2026-01-30 15:30:53.126	1380196430688	0.104966	1.54923
2026-01-30 15:30:53.126	1380196460910	0.103612	1.55406
2026-01-30 15:30:53.127	1380196491072	0.213066	1.67016
2026-01-30 15:30:53.128	1380196521151	0.184725	1.66664
2026-01-30 15:30:53.129	1380196551285	0.16049	1.67482
2026-01-30 15:30:53.129	1380196581447	0.140646	1.68203
2026-01-30 15:30:53.130	1380196611504	0.129765	1.68371
2026-01-30 15:30:53.131	1380196641762	0.0109108	1.63638
2026-01-30 15:30:53.132	1380196671837	0.114816	1.6917
2026-01-30 15:30:53.134	1380196701990	-0.0116796	1.6313
2026-01-30 15:30:53.134	1380196732336	-0.0201886	1.63021
2026-01-30 15:30:53.135	1380196762391	-0.0244101	1.6254
2026-01-30 15:30:53.136	1380196792737	-0.0252158	1.61792
2026-01-30 15:30:53.137	1380196822978	-0.0255787	1.62173
2026-01-30 15:30:53.137	1380196853103	-0.0274118	1.62131
2026-01-30 15:30:53.138	1380196883256	-0.0297406	1.62268
2026-01-30 15:30:53.139	1380196913611	-0.0304976	1.62266
2026-01-30 15:30:53.140	1380196943764	-0.0300057	1.62252
2026-01-30 15:30:53.141	1380196974073	-0.0299886	1.62207
2026-01-30 15:30:53.142	1380197004139	-0.0280811	1.62088
2026-01-30 15:30:53.142	1380197034485	-0.0273434	1.62143
2026-01-30 15:30:53.143	1380197064831	-0.0264188	1.6219
2026-01-30 15:30:53.144	1380197094887	-0.0258417	1.62264
2026-01-30 15:30:53.144	1380197125187	-0.0251153	1.6229
2026-01-30 15:30:53.145	1380197155533	-0.0242183	1.62347
2026-01-30 15:30:53.146	1380197185589	-0.0230207	1.625
2026-01-30 15:30:53.147	1380197215742	-0.0192558	1.62564
2026-01-30 15:30:53.148	1380197245991	-0.0150861	1.62455
2026-01-30 15:30:53.149	1380197276337	-0.0113209	1.62525
2026-01-30 15:30:53.150	1380197306490	-0.00781808	1.62566
2026-01-30 15:30:53.151	1380197336826	-0.00360152	1.6254
2026-01-30 15:30:53.152	1380197367117	0.000110298	1.62385
2026-01-30 15:30:53.153	1380197397155	0.00271319	1.62192
2026-01-30 15:30:53.154	1380197427203	0.00476234	1.61996
2026-01-30 15:30:53.155	1380197457549	0.00626288	1.61865
2026-01-30 15:30:53.156	1380197487614	0.00828802	1.61601
2026-01-30 15:30:53.156	1380197517923	0.0105194	1.61293
2026-01-30 15:30:53.157	1380197548260	0.0128043	1.61033
2026-01-30 15:30:53.158	1380197578541	0.0150365	1.60737
2026-01-30 15:30:53.159	1380197608607	0.0227065	1.60424
2026-01-30 15:30:53.160	1380197638916	0.0302959	1.60006
2026-01-30 15:30:53.161	1380197669174	0.0377325	1.59724
2026-01-30 15:30:53.162	1380197699424	0.0430746	1.59507
2026-01-30 15:30:53.163	1380197729655	0.047312	1.59262
2026-01-30 15:30:53.164	1380197760011	0.0515793	1.58838
2026-01-30 15:30:53.165	1380197790057	0.0554361	1.58524
2026-01-30 15:30:53.166	1380197820219	0.05785	1.58351
2026-01-30 15:30:53.167	1380197850257	0.0595757	1.58365
2026-01-30 15:30:53.168	1380197880419	0.0610332	1.58449
2026-01-30 15:30:53.169	1380197910475	0.0609245	1.58665
2026-01-30 15:30:53.170	1380197940821	0.053849	1.59294
2026-01-30 15:30:53.171	1380197971176	0.0444699	1.5985
2026-01-30 15:30:53.171	1380198001356	0.0330856	1.60635
2026-01-30 15:30:53.172	1380198031518	0.0234628	1.61517
2026-01-30 15:30:53.173	1380198061796	0.0159747	1.62347
2026-01-30 15:30:53.174	1380198091852	0.00988028	1.62878
2026-01-30 15:30:53.174	1380198122014	0.00351112	1.63513
2026-01-30 15:30:53.175	1380198152360	-0.000834763	1.63894
2026-01-30 15:30:53.176	1380198182398	-0.00301041	1.64084
2026-01-30 15:30:53.177	1380198212753	-0.00415093	1.64258
2026-01-30 15:30:53.178	1380198242809	-0.00504899	1.64274
2026-01-30 15:30:53.179	1380198273165	-0.00676918	1.64371
2026-01-30 15:30:53.180	1380198303413	-0.0122945	1.65959
2026-01-30 15:30:53.181	1380198333479	-0.0167816	1.66851
2026-01-30 15:30:53.182	1380198363278	-0.0199546	1.65814
2026-01-30 15:30:53.182	1380198393775	0.130984	1.68387
2026-01-30 15:30:53.183	1380198423873	-0.0284822	1.67674
2026-01-30 15:30:53.184	1380198454228	-0.0338202	1.67117
2026-01-30 15:30:53.185	1380198484353	0.115838	1.69072
